"","season","team","week","season_type","opponent","team_score","opponent_score","team_is_home","team_won","team_point_differential","week_of_last_game_played","bye_week","latest_bye_week_by_season","team_week_first_treated","team_id","season_week_id"
"274",1999,"LAC",3,"REG","IND",19,27,"home",0,-8,17,1,16,2,18,3
"275",1999,"LAC",14,"REG","SEA",19,16,"away",1,3,17,1,16,2,18,14
"276",1999,"LAC",10,"REG","LV",9,28,"away",0,-19,17,1,16,2,18,10
"277",1999,"LAC",12,"REG","MIN",27,35,"away",0,-8,17,1,16,2,18,12
"278",1999,"LAC",2,"REG","CIN",34,7,"away",1,27,17,1,16,2,18,2
"279",1999,"LAC",15,"REG","MIA",9,12,"away",0,-3,17,1,16,2,18,15
"280",1999,"LAC",11,"REG","CHI",20,23,"home",0,-3,17,1,16,2,18,11
"281",1999,"LAC",8,"REG","KC",0,34,"away",0,-34,17,1,16,2,18,8
"282",1999,"LAC",13,"REG","CLE",23,10,"home",1,13,17,1,16,2,18,13
"283",1999,"LAC",9,"REG","DEN",17,33,"home",0,-16,17,1,16,2,18,9
"284",1999,"LAC",7,"REG","GB",3,31,"home",0,-28,17,1,16,2,18,7
"285",1999,"LV",13,"REG","SEA",30,21,"home",1,9,17,9,16,10,19,13
"286",1999,"LV",4,"REG","SEA",21,22,"away",0,-1,17,9,16,10,19,4
"287",1999,"LV",12,"REG","KC",34,37,"home",0,-3,17,9,16,10,19,12
"288",1999,"LV",11,"REG","DEN",21,27,"away",0,-6,17,9,16,10,19,11
"289",1999,"LV",1,"REG","GB",24,28,"away",0,-4,17,9,16,10,19,1
"290",1999,"LV",7,"REG","NYJ",24,23,"home",1,1,17,9,16,10,19,7
"291",1999,"LV",5,"REG","DEN",13,16,"home",0,-3,17,9,16,10,19,5
"292",1999,"LV",17,"REG","KC",41,38,"away",1,3,17,9,16,10,19,17
"293",1999,"LV",10,"REG","LAC",28,9,"home",1,19,17,9,16,10,19,10
"294",1999,"LV",8,"REG","MIA",9,16,"home",0,-7,17,9,16,10,19,8
"295",1999,"LV",6,"REG","BUF",20,14,"away",1,6,17,9,16,10,19,6
"296",1999,"LV",15,"REG","TB",45,0,"home",1,45,17,9,16,10,19,15
"297",1999,"LV",16,"REG","LAC",20,23,"away",0,-3,17,9,16,10,19,16
"298",1999,"LV",14,"REG","TEN",14,21,"away",0,-7,17,9,16,10,19,14
"299",1999,"LV",2,"REG","MIN",22,17,"away",1,5,17,9,16,10,19,2
"300",1999,"LV",3,"REG","CHI",24,17,"home",1,7,17,9,16,10,19,3
"301",1999,"MIA",4,"REG","BUF",18,23,"home",0,-5,19,3,16,4,20,4
"302",1999,"MIA",15,"REG","LAC",12,9,"home",1,3,19,3,16,4,20,15
"303",1999,"MIA",10,"REG","BUF",3,23,"away",0,-20,19,3,16,4,20,10
"304",1999,"MIA",17,"REG","WAS",10,21,"away",0,-11,19,3,16,4,20,17
"305",1999,"MIA",11,"REG","NE",27,17,"home",1,10,19,3,16,4,20,11
"306",1999,"MIA",2,"REG","ARI",19,16,"home",1,3,19,3,16,4,20,2
"307",1999,"MIA",6,"REG","NE",31,30,"away",1,1,19,3,16,4,20,6
"308",1999,"MIA",9,"REG","TEN",17,0,"home",1,17,19,3,16,4,20,9
"309",1999,"MIA",7,"REG","PHI",16,13,"home",1,3,19,3,16,4,20,7
"310",1999,"MIA",16,"REG","NYJ",31,38,"home",0,-7,19,3,16,4,20,16
"311",1999,"MIA",1,"REG","DEN",38,21,"away",1,17,19,3,16,4,20,1
